Name,Symbol,Market,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,code,url,매출액증가율_list,매출액증가율_score,영업이익증가율_list,영업이익증가율_score,영업이익률_list,영업이익률_score,ROE_list,ROE_score,부채비율_list,부채비율_score,total_score,total_price,total_price_group,PER,PER_list,PBR,PBR_list,score_drop
3S,060310,KOSDAQ,전자부품 제조업,반도체 웨이퍼 캐리어,2002-04-23,03월,김세완,http://www.3sref.com,서울특별시,060310,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=060310,"0.89,102.45,-13.11,36.23,-21.31",-5,"62.04,575.33,-27.85,-159.04,137.54",3,"-7.46,17.51,14.54,-6.3,3.0",3,"2.26,7.95,10.21,4.04,6.1",14,"55.39,58.04,65.88,69.87,71.17",-15,0,127900000000,GR3,62.28,"176.07,66.89,41.78,107.72,62.28",3.7,"176.07,66.89,41.78,107.72,62.28,3.85,4.97,3.92,4.24,3.7",False
AP시스템,265520,KOSDAQ,특수 목적용 기계 제조업,디스플레이 제조 장비,2017-04-07,12월,김영주,http://www.apsystems.co.kr,경기도,265520,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=265520,"29.35,-34.13,81.37,-53.96,51.8",9,"33.46,-1.23,22.93,-41.78,94.64",9,"11.16,16.74,11.34,14.35,18.39",10,"26.02,27.62,34.68,31.96,36.79",5,"137.69,151.01,123.83,132.34,115.11",9,42,294100000000,GR2,3.55,"12.98,8.76,6.74,6.47,3.55",1.1,"12.98,8.76,6.74,6.47,3.55,2.99,2.12,1.98,1.78,1.1",False
AP위성,211270,KOSDAQ,통신 및 방송 장비 제조업,위성통신 단말기,2016-03-04,12월,류장수,http://www.apsi.co.kr,서울특별시,211270,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=211270,"-2.16,-18.97,410.51,-60.28,52.79",3,"26.18,-5.38,533.72,-90.42,-33.89",-21,"-12.56,-16.34,13.88,3.35,1.45",4,"-3.77,-2.83,1.74,2.4,4.29",3,"40.87,43.84,37.09,34.38,28.74",-15,-26,169600000000,GR3,49.67,"-90.36,-115.43,155.91,119.06,49.67",1.97,"-90.36,-115.43,155.91,119.06,49.67,3.28,3.13,2.54,2.68,1.97",False
BGF,027410,KOSPI,기타 금융업,지주회사,2014-05-19,12월,홍정국,http://www.bgf.co.kr,서울특별시,027410,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=027410,"35.09,11.23,0.19,106.7,-7.43",7,"270.24,49.26,-83.49,-3.67,1108.1",3,"10.25,13.76,2.27,1.06,13.79",12,"3.41,3.02,4.26,2.21,3.17",15,"7.83,9.54,14.36,13.9,11.41",-15,22,384300000000,GR2,8.04,"12.33,12.42,7.73,14.92,8.04",0.25,"12.33,12.42,7.73,14.92,8.04,0.41,0.37,0.32,0.33,0.25",False
BYC,001460,KOSPI,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",1975-06-02,12월,김 대 환,http://home.byc.co.kr,서울특별시,001460,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=001460,"11.99,1.52,23.39,-27.68,20.99",16,"-35.74,104.4,34.16,-31.61,-50.72",-15,"9.21,18.53,20.15,19.05,7.76",11,"4.63,5.37,6.39,5.91,9.08",15,"47.38,41.99,42.05,41.18,40.76",-15,12,249200000000,GR2,7.68,"16.88,15.21,12.67,13.42,7.68",0.66,"16.88,15.21,12.67,13.42,7.68,0.76,0.79,0.78,0.77,0.66",False
CJ,001040,KOSPI,기타 금융업,지주회사,1973-06-29,12월,"손경식, 김홍기",http://www.cj.net,서울특별시,001040,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=001040,"4.05,6.2,4.87,-1.78,13.07",4,"26.81,-12.32,-25.78,34.81,38.21",15,"6.81,5.62,3.98,5.46,6.67",15,"1.07,0.83,5.66,6.14,6.3",15,"147.68,150.19,154.84,163.07,166.44",6,55,2267000000000,GR0,8.56,"73.15,85.62,10.82,9.86,8.56",0.49,"73.15,85.62,10.82,9.86,8.56,0.72,0.64,0.55,0.55,0.49",False
CJ ENM,035760,KOSDAQ,텔레비전 방송업,"의류, 생활주방, 가전제품, 보석, 기타",1999-11-23,12월,"Ho Sung Kang, Sang Hyun Yoon",http://www.cjmall.com,서울특별시,035760,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=035760,"14.65,-5.55,16.04,-3.8,24.57",5,"-8.35,2.35,-66.25,67.45,12.05",12,"9.45,10.24,2.98,5.18,4.66",14,"3.02,4.05,5.36,3.57,1.98",15,"66.05,65.71,88.91,109.7,116.47",-5,41,2118300000000,GR0,28.99,"39.45,23.75,15.73,22.75,28.99",0.55,"39.45,23.75,15.73,22.75,28.99,1.05,0.84,0.76,0.77,0.55",False
CJ대한통운,000120,KOSPI,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",1956-07-02,12월,"강신호,민영학(각자대표)",http://www.cjlogistics.com,서울특별시,000120,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=000120,"2.03,3.61,7.41,-6.55,9.8",-1,"88.24,16.3,-5.24,-24.21,53.49",1,"3.3,3.7,3.26,2.65,3.7",15,"1.07,0.89,1.59,1.96,5.19",15,"134.58,130.24,123.93,125.99,128.54",10,40,2726000000000,GR0,14.26,"115.97,118.55,52.51,42.84,14.26",0.63,"115.97,118.55,52.51,42.84,14.26,1.03,0.87,0.7,0.72,0.63",False
CJ씨푸드,011150,KOSPI,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",1988-11-26,12월,"이인덕, 김정웅 (각자대표)",http://www.cjseafood.net,경기도,011150,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=011150,"-12.28,14.8,6.38,-10.87,-16.55",-23,"-73.87,41.96,-58.02,278.22,-73.29",-9,"1.83,2.26,0.89,3.79,1.21",15,"5.72,6.47,3.32,2.22,2.46",15,"74.94,77.85,98.76,99.05,94.15",-15,-17,116900000000,GR3,67.04,"44.16,32.19,62.28,97.72,67.04",1.63,"44.16,32.19,62.28,97.72,67.04,2.47,2.03,2.05,2.16,1.63",False
CJ제일제당,097950,KOSPI,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",2007-09-28,12월,"손경식, 최은석 (각자 대표이사)",http://www.cj.co.kr,서울특별시,097950,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=097950,"2.12,8.64,1.37,0.46,7.69",15,"21.94,-7.75,-45.37,84.11,15.75",10,"7.44,6.32,3.41,6.24,6.71",15,"8.35,8.28,10.76,10.83,10.36",12,"147.39,150.29,148.51,151.29,153.15",7,59,6066800000000,GR0,9.57,"16.07,13.96,10.36,9.36,9.57",0.9,"16.07,13.96,10.36,9.36,9.57,1.29,1.08,1.02,0.93,0.9",False
