Date,Open,High,Low,Close,Volume,Change
2018-08-10,34850,35250,34200,35000,148026,0.004304160688665792
2018-08-13,35350,35500,34050,34100,236888,-0.02571428571428569
2018-08-14,34450,35750,34200,35450,295745,0.03958944281524923
2018-08-16,35100,38050,34350,37950,511806,0.07052186177715081
2018-08-17,38200,38700,36950,37050,469718,-0.02371541501976282
2018-08-20,37000,38000,35650,36050,407208,-0.026990553306342813
2018-08-21,36100,38750,36100,38300,524447,0.06241331484049928
2018-08-22,38150,39500,37500,38900,383765,0.015665796344647598
2018-08-23,38650,39900,37200,38200,607153,-0.01799485861182515
2018-08-24,37650,40500,37550,40050,484832,0.048429319371727786
2018-08-27,40000,42000,39800,41800,482432,0.043695380774032566
2018-08-28,42000,42650,39300,39600,613854,-0.052631578947368474
2018-08-29,39800,41150,39550,40850,408318,0.031565656565656575
2018-08-30,40850,42000,40800,41950,277742,0.02692778457772338
2018-08-31,41400,43000,41050,42900,494924,0.022646007151370773
2018-09-03,42950,43200,41350,42600,331957,-0.006993006993006978
2018-09-04,42750,43950,42250,43250,364832,0.015258215962441257
2018-09-05,43050,43550,42600,43000,186187,-0.005780346820809301
2018-09-06,43000,43350,41900,42550,288294,-0.010465116279069764
2018-09-07,42850,43600,42700,42950,265841,0.009400705052879044
2018-09-10,42800,43400,41300,41550,333067,-0.03259604190919674
2018-09-11,41250,42750,41250,42000,159597,0.010830324909747224
2018-09-12,42500,44400,42200,42600,399124,0.014285714285714235
2018-09-13,42600,43300,41900,43300,202165,0.016431924882629012
2018-09-14,43200,43750,42500,43600,159852,0.006928406466512715
2018-09-17,43600,43650,42100,43250,192210,-0.008027522935779796
2018-09-18,42900,43150,42200,42700,117000,-0.012716763005780396
2018-09-19,43000,44100,42450,43400,130817,0.016393442622950838
2018-09-20,43150,43650,42500,43600,135566,0.004608294930875667
2018-09-21,43300,44450,43300,44000,158486,0.00917431192660545
2018-09-27,44200,44300,43450,44200,122456,0.00454545454545463
2018-09-28,44200,44350,43650,44200,113508,0.0
2018-10-01,44500,46700,44500,46700,443210,0.0565610859728507
2018-10-02,47000,47450,43950,44650,391051,-0.043897216274089934
2018-10-04,44750,44750,42550,44650,292510,0.0
2018-10-05,44650,45000,42700,43200,275456,-0.03247480403135494
2018-10-08,43000,43950,40250,41200,372531,-0.04629629629629628
2018-10-10,41350,42200,39600,42150,413449,0.02305825242718451
2018-10-11,41400,41900,39000,39650,424811,-0.059311981020166105
2018-10-12,39400,41450,39350,40800,256131,0.029003783102143688
2018-10-15,40500,41850,39900,40300,165332,-0.01225490196078427
2018-10-16,40350,42300,40350,42300,187836,0.04962779156327546
2018-10-17,42050,42500,38700,39450,1553667,-0.06737588652482274
2018-10-18,39650,40150,39150,40000,652646,0.013941698352344822
2018-10-19,39500,41700,39350,41200,400491,0.030000000000000027
2018-10-22,41000,42150,40550,41750,226492,0.013349514563106846
2018-10-23,41750,43750,40700,42700,490990,0.022754491017964007
2018-10-24,43900,44000,36450,37050,1200094,-0.13231850117096022
2018-10-25,36550,38850,35750,38000,500560,0.02564102564102555
2018-10-26,38900,38950,35250,36600,409608,-0.0368421052631579
2018-10-29,38050,38050,35450,35950,295405,-0.01775956284153002
2018-10-30,35500,38000,33800,38000,289948,0.057023643949930536
2018-10-31,38000,38050,36500,36850,192938,-0.03026315789473688
